,Start,End
254,2019-02-12 18:42:55.887595,2019-02-12 18:42:55.919077
255,2019-02-12 18:42:56.497616,2019-02-12 18:42:59.839673
256,2019-02-12 18:43:00.016154,2019-02-12 18:43:00.079388
257,2019-02-12 18:43:00.113891,2019-02-12 18:43:01.433698
258,2019-02-12 18:43:02.256534,2019-02-12 18:43:06.241452
259,2019-02-12 18:43:06.767287,2019-02-12 18:43:07.009264
260,2019-02-12 18:43:07.680800,2019-02-12 18:43:10.529000
261,2019-02-12 18:43:11.296485,2019-02-12 18:43:12.336547
262,2019-02-12 18:43:13.263177,2019-02-12 18:43:16.718898
263,2019-02-12 18:43:17.759751,2019-02-12 18:43:17.791836
264,2019-02-12 18:43:17.824160,2019-02-12 18:43:17.888101
265,2019-02-12 18:43:18.127538,2019-02-12 18:43:18.160374
266,2019-02-12 18:43:18.930406,2019-02-12 18:43:29.841881
267,2019-02-12 18:43:30.751087,2019-02-12 18:43:31.489059
268,2019-02-12 18:43:32.257026,2019-02-12 18:43:45.040597
269,2019-02-12 18:43:45.681102,2019-02-12 18:43:46.479724
270,2019-02-12 18:43:47.183396,2019-02-12 18:43:50.159878
271,2019-02-12 18:43:51.360137,2019-02-12 18:43:51.630833
272,2019-02-12 18:43:52.768286,2019-02-12 18:43:53.408551
273,2019-02-12 18:43:53.441119,2019-02-12 18:43:53.472646
274,2019-02-12 18:43:54.175746,2019-02-12 18:43:56.831583
275,2019-02-12 18:43:57.907654,2019-02-12 18:43:58.368792
276,2019-02-12 18:44:01.215236,2019-02-12 18:44:01.922473
277,2019-02-12 18:44:03.551664,2019-02-12 18:44:04.160588
278,2019-02-12 18:44:05.264249,2019-02-12 18:44:07.167149
279,2019-02-12 18:44:07.906308,2019-02-12 18:44:08.576157
280,2019-02-12 18:44:08.806739,2019-02-12 18:44:08.848498
281,2019-02-12 18:44:09.557112,2019-02-12 18:44:10.484086
282,2019-02-12 18:44:16.145431,2019-02-12 18:44:16.511803
283,2019-02-12 18:44:16.576617,2019-02-12 18:44:16.608550
284,2019-02-12 18:44:16.673288,2019-02-12 18:44:16.704693
285,2019-02-12 18:44:17.247662,2019-02-12 18:44:18.080210
286,2019-02-12 18:44:18.783449,2019-02-12 18:44:22.176497
287,2019-02-12 18:44:23.168244,2019-02-12 18:44:23.906299
288,2019-02-12 18:44:24.816251,2019-02-12 18:44:24.977488
289,2019-02-12 18:44:32.544713,2019-02-12 18:44:32.722799
290,2019-02-12 18:44:59.794457,2019-02-12 18:45:00.704851
291,2019-02-12 18:45:46.770845,2019-02-12 18:45:46.801170
292,2019-02-12 18:45:46.833889,2019-02-12 18:45:46.864620
293,2019-02-12 18:45:46.927553,2019-02-12 18:45:48.017149
294,2019-02-12 18:46:31.507005,2019-02-12 18:46:32.034160
295,2019-02-12 18:46:32.066597,2019-02-12 18:46:32.097125
296,2019-02-12 18:46:43.430494,2019-02-12 18:46:43.557834
297,2019-02-12 18:46:44.164226,2019-02-12 18:46:44.291939
298,2019-02-12 18:46:46.467296,2019-02-12 18:46:46.500823
299,2019-02-12 18:46:49.186619,2019-02-12 18:46:49.313693
300,2019-02-12 18:46:50.209557,2019-02-12 18:46:50.325001
301,2019-02-12 18:46:51.281128,2019-02-12 18:46:51.426308
302,2019-02-12 18:47:20.881599,2019-02-12 18:47:22.418644
303,2019-02-12 18:47:22.498702,2019-02-12 18:47:22.690230
304,2019-02-12 18:47:23.761897,2019-02-12 18:47:23.890702
305,2019-02-12 18:47:23.970885,2019-02-12 18:47:24.161667
